Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType
2026/8/30,4,1,小松一,Right,4,Right,2,0,0,Slider,BallCalled,135,,
2026/8/30,4,2,小松一,Right,4,Right,2,1,0,Fastball,InPlay,144,Single,GroundBall
2026/8/30,5,1,小松一,Right,5,Right,2,0,0,Fastball,FoulBallFieldable,141,,
2026/8/30,5,2,小松一,Right,5,Right,2,0,1,Slider,FoulBallFieldable,135,,
2026/8/30,5,3,小松一,Right,5,Right,2,0,2,Fastball,InPlay,136,Error,FlyBall
2026/8/30,6,1,小松一,Right,6,Right,2,0,0,Slider,FoulBallFieldable,134,,
2026/8/30,6,2,小松一,Right,6,Right,2,0,1,Fastball,StrikeCalled,136,,
2026/8/30,6,3,小松一,Right,6,Right,2,0,2,Fastball,BallCalled,143,,
2026/8/30,6,4,小松一,Right,6,Right,2,1,2,Fastball,FoulBallFieldable,144,,
2026/8/30,6,5,小松一,Right,6,Right,2,1,2,Slider,FoulBallFieldable,134,,
2026/8/30,6,6,小松一,Right,6,Right,2,1,2,Fastball,InPlay,138,Out,GroundBall
